Phase,Number,Name,Program,Master,Active,Project Manager,Portfolio Category,Latitude,Longitude,Council District,Location,Gate 1,Gate 2,Gate 3,Gate 1 (Performance/Reference),Gate 2 (Performance/Reference),Gate 3 (Performance/Reference)
PLANNING,1026798,RSD EMRGNT NEED-EXISTING PRJ,,No,Yes,"Mitchell, Patricia",Quick Response,,,"1
2
3
4
5
6
7
8
9",,,,,,,
PLANNING,1026799,RSD CIP GRANT CONTIGENCY,,No,Yes,"Mitchell, Patricia",Contingencies,,,,,,,,,,
OPERATIONS,1026800,RSD CAP PROJ O S FUND 3860,,No,Yes,"Mitchell, Patricia",Administrative,,,,,,,,,,
PREDESIGN,1027163,RSD QUICK RESPONSE,RSD QUICK RESPONSE,Yes,Yes,"Mitchell, Patricia",Contingencies,,,,,,,,,,
IMPLEMENT,1111819,RSD C W DRAINAGE PRESERVATION,RSD C W DRAINAGE PRESERVATION,Yes,Yes,"Shular, Ryan",Drainage,,,,Various locations countywide,,,,,,
OPERATIONS,1114792,RSD ROADS-COUNTY ROAD CONST,,No,Yes,"Mitchell, Patricia",Administrative,,,,,,,,,,
CLOSEOUT,1116885,RSD WOODINVILLE DUVALL ITS,,No,Yes,"McManus, Aileen",Traffic Control,,,3,NE Woodinville-Duvall Road,,,,,,
CLOSEOUT,1124986,RSD CW HRRRP,RSD CW HRRRP,Yes,Yes,,Roadway,,,,,,,,,,
IMPLEMENT,1125758,RSD W SNOQ VLY RD/NE124-W/D RD,,No,Yes,"Shular, Ryan",Roadway,47.7165,-122.008313,3,13523 W. Snoqualimie Valley Road NE,43412.33333,43599.29167,,,,
DESIGN,1127271,RSD PRESTON MAINT FACILITY,,No,Yes,"Sugui, Rey",Maintenance Facilities,,,"1
2
3
4
5
6
7
8
9",29111 SE Preston Way,,,44926.33333,,,43861.33333
IMPLEMENT,1127273,RSD FAILED ENV & HVAC REHAB,,No,Yes,"Knauer, Jennifer",Maintenance Facilities,,,"1
2
3
4
5
6
7
8
9","155 Monroe Ave NE, Renton, WA",42677.29167,42745.33333,42845.29167,42677.29167,42745.33333,42845.29167
DESIGN,1127589,RSD 165 ST FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,No,Yes,"Karinen, Martin",Drainage,47.74032,-122.097347,3,"King County, east of Woodinville, NE 165th St between 179th PL NE and 183rd PL NE, NE 165th St Road Log #66510 MP 2.275 to 2.468",42432.33333,42587.29167,44620.33333,42432.33333,42587.29167,42587.29167
CLOSEOUT,1127590,RSD 212 AV SE FLD RSK RDUCTN,RSD C W DRAINAGE PRESERVATION,No,Yes,"Bleasdale, Don",Drainage,,,7,"King County, west of Enumclaw",42431.33333,42373.33333,,,,
IMPLEMENT,1129582,RSD EMERGENT NEED 3855,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
IMPLEMENT,1129583,RSD GRANT CONTINGENCY 3855,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
IMPLEMENT,1129584,RSD CWP QUICK RESPONSE,RSD CWP QUICK RESPONSE,Yes,Yes,"Mitchell, Patricia",Roadside,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
IMPLEMENT,1129585,RSD CWP ROADWAY PRESERVATION,RSD CWP ROADWAY PRESERVATION,Yes,Yes,"Moore, Paul",Roadway,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
IMPLEMENT,1129586,RSD CWP DRAINAGE PRESERVATION,RSD CWP DRAINAGE PRESERVATION,Yes,Yes,"Shular, Ryan",Drainage,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,43473.33333,,,43473.33333
PLANNING,1129587,RSD CWP GUARDRAIL PRESERVATION,RSD CWP GUARDRAIL PRESERVATION,Yes,Yes,"Mott, Linda",Roadside,,,"1
2
3
4
5
6
7
8
9","King County, countywide",42949.29167,42949.29167,,42949.29167,42949.29167,
IMPLEMENT,1129588,RSD CWP BRIDGE PRIORITY MAINT,RSD CWP BRIDGE PRIORITY MAINT,Yes,Yes,"Roark, Ben",Bridges & Structures,,,"1
2
3
4
5
6
7
8
9",Various Locations throughout King County,,,,,,43991.29167
IMPLEMENT,1129590,RSD CWP HIGH COLLISION SAFETY,RSD CWP HIGH COLLISION SAFETY,Yes,Yes,"Mott, Linda",Traffic Control,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
IMPLEMENT,1129591,RSD CWP SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,Yes,Yes,"Hafele, Brendan",Traffic Control,,,"1
2
3
4
5
6
7
8
9",School zones in unincorporated KC,,,,,,
IMPLEMENT,1129592,RSD EMERGENT NEED 3865,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
IMPLEMENT,1129593,RSD GRANT CONTINGENCY 3865,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
PLANNING,1129594,RSD CWP GUARDRAIL CONSTRUCTION,RSD CWP GUARDRAIL CONSTRUCTION,Yes,Yes,"Mott, Linda",Roadside,,,"1
2
3
4
5
6
7
8
9","King County, countywide",43130.33333,42856.29167,42916.29167,43130.33333,42856.29167,42916.29167
DESIGN,1129595,RSD OLD CASCADE/MILLER BR WEST,,No,Yes,"Lyou, John",Bridges & Structures,47.72656,-121.40594,3,NE Old Cascade Hwy between State Road 2 and Miller River,42849.29167,42977.29167,43088.33333,42849.29167,42977.29167,43088.33333
DESIGN,1129596,RSD OLD CASCADE/MILLER BR EAST,,No,Yes,"Lyou, John",Bridges & Structures,47.70663,-121.37625,3,NE Old Cascade Hwy between Skykomish and Miller River,42849.29167,42977.29167,43090.33333,42849.29167,42977.29167,43090.33333
PREDESIGN,1129598,RSD ISS HBRT RD@MAY VLLY IMPRV,,No,Yes,"Wang, Jun",Roadway,47.484716,-122.027066,9,"Intersection of Issaquah-Hobart Road SE and SE May Valley Road, in unincorporated King County, south of the City of Issaquah.
Issaquah-Hobart: Roadway Route: #23722 / #5245 / #31675, Road Log # 93690 Mileposts 13.662 - 13.961
SE May Valley : Roadway Route: #57621, Road Log # 98921 Mileposts 8.471 - 8.562",43515.33333,44742.29167,44936.33333,43515.33333,44196.33333,44377.29167
DESIGN,1129599,RSD RENTON AVE PH III SIDEWALK,,No,Yes,"Linders, Jon",Roadside,47.500882,-122.24955,2,"Located in the Skyway area, southeast of the City of Seattle - from 68th Avenue South to South 112th Street
Roadway Route #71949 / #67932 / #11422 / #89748 / #68431
Road Log #90780 - Mileposts 2.00 - 2.36",43230.7015,43511.74317,43494.33333,,,43494.33333
CLOSEOUT,1129714,RSD NE STILLWATER HILL RD,RSD CWP ROADWAY PRESERVATION,No,Yes,"Linders, Jon",Roadway,47.689044,-121.906528,3,"NE Stillwater Hill Rd/Kelly Rd NE from SR 203 to NE Big Rock Rd. 
Road Log #98950 from MP 8.295 to MP 9.800",43510.33333,43528.33333,43615.29167,43510.33333,43528.33333,43615.29167
IMPLEMENT,1129716,RSD DIVISION 1 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129717,RSD DIVISION 2 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129718,RSD DIVISION 3 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129720,RSD DIVISION 4 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129721,RSD DIVISION 5 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129722,RSD DIVISION 6 DRAINAGE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129723,RSD DIVISION 1 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129724,RSD DIVISION 2 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129725,RSD DIVISION 3 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129726,RSD DIVISION 4 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129727,RSD DIVISION 5 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129728,RSD DIVISION 6 SHOULDERING,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Quach, Dieu",Drainage,,,"1
2
3
4
5
6
7
8
9",,,,,,,
IMPLEMENT,1129841,RSD CIP OVERSIGHT 3855,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Administrative,,,,,,
IMPLEMENT,1130303,RSD CIP OVERSIGHT 3865,,No,Yes,"Foote, Mark",Administrative,,,"1
2
3
4
5
6
7
8
9",Countywide,,,,,,
PLANNING,1130705,RSD FC SNQ VLY MJR FL MIT STDY,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Truong, Trinh",Drainage,,,,,44308.06736,45019.29167,,44308.06736,44652.06736,44772.06736
PLANNING,1130706,RSD FC NE8ST@ALLEN LAKE OUTLET,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,47.61654,-122.00854,3,NE 8th Street @ Allen Lake Outlet,44184.04955,44593.04955,44680.29167,44184.04955,44593.04955,44680.29167
IMPLEMENT,1130707,RSD FC 162 AVE SE @ SE 166 CT,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,47.453565,-122.12593,9,162 Ave SE @ SE 166 Ct,42839.29167,43084.33333,43157.33333,42839.29167,43084.33333,43157.33333
CLOSEOUT,1130708,RSD FC DAVID POWELL RD RPR,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,47.550889,-121.851506,3,36621 SE David Powell Road,42828.29167,42909.29167,43285.29167,42828.29167,42909.29167,43285.29167
DESIGN,1130710,RSD FC 380 PL @SR-164 CDR,RSD CWP FLOOD CONTROL DISTRICT,No,Yes,"Lyou, John",Drainage,47.2608,-122.12775,7,SE 380th Place @ State Route 164,43188.29167,43854.33333,44082.29167,43188.29167,43854.33333,44082.29167
CLOSEOUT,1130962,RSD BLK DMND-RVNSDL RD SLD RPR,RSD QUICK RESPONSE,No,Yes,"Shular, Ryan",Contingencies,,,9,At SE 310th Street to 200 feet north,,,,,,
CLOSEOUT,1131132,RSD 2017-18 NEW GRDL CONSTRUCT,RSD CWP GUARDRAIL CONSTRUCTION,No,Yes,"Bleasdale, Don",Roadside,,,"1
2
3
4
5
6
7
8
9",Various locations in unincorporated King County,43130.33333,42944.29167,42947.29167,,,
DESIGN,1131157,RSD HGH COLLSN SIGHTLINE IMPV,RSD CWP HIGH COLLISION SAFETY,No,Yes,"Karinen, Martin",Traffic Control,47.278897,-122.292311,7,32nd Ave S and S 360th St intersection.,,43055.33333,44177.33333,,43055.33333,44177.33333
IMPLEMENT,1131162,RSD HGH COLLSN SIGNAL MOD,RSD CWP HIGH COLLISION SAFETY,No,Yes,"Zhen, Haiyan",Traffic Control,,,"1
2
3
4
5
6
7
8
9",three signalized intersections,,,,,,
CLOSEOUT,1131163,RSD HGH FRICTION SURF TMT,RSD CWP HIGH COLLISION SAFETY,No,Yes,"Sahagun, Dan",Traffic Control,,,"1
2
3
4
5
6
7
8
9",24 various locations throughout King County,,,43089.33333,,,43089.33333
DESIGN,1131235,RSD S 360ST&MILITARY RD RNDABT,,No,Yes,"Karinen, Martin",Traffic Control,47.278922,-122.275323,7,"King County, southeast of Federal Way, S 360th St and Military Rd S,  Military Rd S Road Log #92603 MP 1.706-1.836,  S 360th St Road Log #92606 MP 1.596-1.709",,43805.33333,44484.29167,,43805.33333,44250.33333
HOLD,1131236,RSD S LANGSTON RD&59 AV RNDABT,,No,Yes,"McManus, Aileen",Traffic Control,47.492685,-122.2597,2,"King County, south of Seattle",,,,,,
IMPLEMENT,1131333,RSD CWP FLOOD CONTROL DISTRICT,RSD CWP FLOOD CONTROL DISTRICT,Yes,Yes,"Lyou, John",Drainage,,,"1
2
3
4
5
6
7
8
9",Unincorporated King County,,,,,,
CLOSEOUT,1131387,RSD 2017 CW PVMNT PRESERVATION,RSD CWP ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,,"1
2
3
4
5
6
7
8
9",Multiple roadways throughout King County,,,42818.29167,,,
CLOSEOUT,1131508,RSD DIV 4 FACLTY IMPRVMT 17-18,RSD FACIL PRESERVATION C/WIDE,No,Yes,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,
DESIGN,1131511,RSD SAHALEE WY NE 46000 BLK,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Dulan, Lica",Drainage,47.649662,-122.055987,3,"Sahalee Way NE, south of NE 50th Street",43412.33333,43662.29167,43069.33333,43412.33333,43662.29167,43069.33333
DESIGN,1131526,RSD SE PTRVSKY & 134 A SE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Mitchell, Mark C.",Drainage,47.446717,-122.161679,9,SE Petrovitsky Road at 134th Avenue SE,43360.29167,43333.29167,43836.33333,43360.29167,43333.29167,43836.33333
IMPLEMENT,1131557,RSD 17-18 SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,No,Yes,"Brown, Keith",Traffic Control,47.59863,-122.330801,"1
2
3
4
5
6
7
8
9",Countywide,,,,,,
IMPLEMENT,1131582,RSD NE WD/DVL CULVERT REPL,RSD QUICK RESPONSE,No,Yes,"Shular, Ryan",Contingencies,47.746466,-122.013927,3,"At 1,700 feet west of West Snoqualmie Valley Road NE",,,43005.29167,,,
DESIGN,1131671,RSD SE PTRVSKY @ 151ST  A SE,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Mitchell, Mark C.",Drainage,47.441572,-122.139492,9,SE Petrovistky Road at 151st Avenue SE,43360.29167,43241.29167,43635.29167,43360.29167,43241.29167,43635.29167
DESIGN,1131672,RSD SE PTRVSKY @20300BLK,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Mitchell, Mark C.",Drainage,47.420055,-122.071911,9,SE Petrovitsky Road at driveway #20129,43360.29167,43241.29167,43966.29167,43360.29167,43241.29167,43966.29167
PLANNING,1132446,RSD S LANGSTN RD@132ST DRG IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,47.491626,-122.258586,2,"In the Skyway area of Seattle on S Langston Rd, near S 24th Street and S 125th Street",44089.29167,44105.29167,44113.29167,44089.29167,44105.29167,44113.29167
PREDESIGN,1132448,RSD SW 108ST@10 AVE SW DRG IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,,,8,,,,,,,
DESIGN,1132450,RSD 177 AVE SE DRG IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,,,9,,,,,,,
PREDESIGN,1132523,RSD GREEN RVR RD S28728 DR IMP,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Shular, Ryan",Drainage,,,7,,43609.29167,43630.29167,,,,
DESIGN,1132710,RSD DRAIN IMP SAHALEE-4800,RSD CWP DRAINAGE PRESERVATION,No,Yes,"Dulan, Lica",Drainage,47.650842,-122.057723,3,NE Sahalee Wy at 4800 Blk,43412.33333,43206.29167,43221.29167,43412.33333,43206.29167,43221.29167
CLOSEOUT,1132958,RSD 15 MILE BRDG #1384A LOAD,RSD QUICK RESPONSE,No,Yes,"Martin, TingTing",Contingencies,,,9,,,,,,,
CLOSEOUT,1133219,RSD VASHON HWY SW PAVE PRES,RSD CWP ROADWAY PRESERVATION,No,Yes,"Daggs, Victor",Roadway,,,8,"Vashon Highway SW, Vashon Island",,,43195.29167,,,43195.29167
CLOSEOUT,1133220,RSD 2018 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,,"1
2
3
4
5
6
7
8
9",Various location in unicorporated King County,,43101.33333,43101.33333,,,
CLOSEOUT,1133413,RSD SE SAWYER RDG OVERLAY,RSD CW ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,,"1
2
3
4
5
6
7
8
9",,,,,,,
CLOSEOUT,1133440,RSD MOUNT VIEW RD REPAIR,RSD CWP QUICK RESPONSE,No,Yes,"Shular, Ryan",Roadside,,,,,,,,,,
CLOSEOUT,1133757,RSD 2018 BITUM SURF TREATMENT,RSD CWP ROADWAY PRESERVATION,No,Yes,"Moore, Paul",Roadway,,,"1
2
3
4
5
6
7
8
9",Various location in unicorporated King County,,43101.33333,43101.33333,,,
CLOSEOUT,1133864,RSD NE NVLTY HILL RD TRAIL,RSD CWP QUICK RESPONSE,No,Yes,"Sahagun, Dan",Roadside,47.698647,-122.031229,3,"The project is located along the south side of NE Novelty Hill Road, in unincorporated King County, east of the City of Redmond, within the northwest quarter of Section 34,
Township 26 North, and Range 06 East. The project location can be found on page 538, B1 and 508 B7 of the Thomas Brother’s Guide.
Road Service Level Tier 1 - Roadway Route #11704
Road Log #93658 - Mileposts 3.028 - 3.255",,,,,,
PLANNING,1134079,RSD KENTKANGLEY LNDSBRG RNDABT,,No,Yes,"Linders, Jon",Traffic Control,47.357831,-121.974022,9,"Intersection of SE Kent Kangley Rd and Landsburg Rd SE
Road Log #91551, MP 2.32
Road Log #93690, MP 3.56",43833.33333,45190.60472,45224.29167,43833.33333,,
PREDESIGN,1134080,RSD WDDUV SNOQ VALLEY IMPROVE,,No,Yes,"Linders, Jon",Roadway,47.743654,-122.008823,3,"Intersection of NE Woodinville Duvall @ West Snoqualmie Valley NE
Road Log #96812, MP 10.23 
Road Log #96818, MP 9.13",44818.29167,45190.29167,45224.29167,44818.29167,45190.29167,45224.29167
DESIGN,1134081,RSD REDMOND RIDGE DR NE RNDABT,,No,Yes,"Karinen, Martin",Traffic Control,47.692118,-122.035682,3,"Intersection of Redmond Ridge Dr. NE at NE Alder Crest Dr. located in the Redmond Ridge area, northeast of the City of Redmond
Redmond Ridge Dr NE - Road Service Level Tier 2 - Roadway Route #90760 - Road Log #67495 - Mileposts 0.265 - 0.440
NE Alder Crest Dr - Road Service Level Tier 5 - Roadway Route #51265 / #82659 - Road Log #67497 - Mileposts 0.314 - 0.436",43509.33333,,43775.33333,43509.33333,,43775.33333
IMPLEMENT,1134082,RSD FACILITIES LED CONVERSION,,No,Yes,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,43539.29167,,,43539.29167
HOLD,1134083,RSD COVINGTON WAY SE IMPROVE,,No,Yes,"Linders, Jon",Roadway,47.349034,-122.117049,9,"Intersection of Covington Way SE and 164th Pl SE
Road Log 91581, MP 0.00
Road Log #33450, MP 1.02",44060.29167,44368.29167,45692.64807,44060.29167,44368.29167,
IMPLEMENT,1134093,RSD CWP TRAFFIC SAFETY,RSD CWP TRAFFIC SAFETY,Yes,Yes,"Brown, Keith",Traffic Control,,,,,,,,,,
LAND,1135042,RSD VASHON MAINT FACILITY REPL,,No,Yes,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,
LAND,1135043,RSD NE MAINT FACILITY REPL,,No,Yes,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,
PLANNING,1135044,RSD PRSTN MAINT FACILTY BLDOUT,,No,Yes,"Kosai-Eng, Joann",Maintenance Facilities,,,,,,,,,,
IMPLEMENT,1135045,RSD CWP CLVRT RPLCMT FISH PASS,RSD CWP CLVRT RPLCMT FISH PASS,Yes,Yes,"Cassidy, Jon",Drainage,,,,,,,,,,
DESIGN,1135046,RSD MAINT HDQTRS BLDG D REHAB,,No,Yes,"Ho, Alex",Maintenance Facilities,,,,"155 Monroe Ave NE, Renton, WA",42677.29167,42745.33333,42898.29167,42677.29167,42745.33333,42898.29167
IMPLEMENT,1135073,RSD CWP 2019-20 BRIDGE SAFETY,RSD CWP 2019-20 BRIDGE SAFETY,Yes,Yes,"Truong, Trinh",Bridges & Structures,,,,Various locations,,,,,,
IMPLEMENT,1135997,RSD COAL CREEK BRG 3035A REPL,,No,Yes,"Martin, TingTing",Bridges & Structures,47.268681,-121.915547,9,"Lake Walker Road at Coal Creek
Road Log : 32610",43385.29167,43626.29167,44153.33333,43385.29167,43626.29167,44153.33333
DESIGN,1135998,RSD AMES LK TRS BRG 1320A REPL,,No,Yes,"Truong, Trinh",Bridges & Structures,47.65918,-121.966,3,The bridge site is located in unincorporated King County west of the City of Carnation and east of the City of Redmond along Ames Lake Carnation Road NE at its intersection with Ames Creek.,43637.29167,44005.29167,44258.33333,43637.29167,44005.29167,44258.33333
